DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2016-02-06,28-022,BRK,AWAY,PHI,L (-5),1,21:44,1,3,.333,0,0,,2,2,1.000,0,4,4,4,1,0,4,3,4,2.1,+1,Donald Sloan
2016-02-08,28-024,BRK,HOME,DEN,W (+1),1,25:52,4,8,.500,2,4,.500,0,0,,0,3,3,2,0,0,0,1,10,7.9,-1,Donald Sloan
2016-02-10,28-026,BRK,HOME,MEM,L (-19),1,23:38,2,4,.500,0,2,.000,0,0,,0,2,2,8,1,0,0,2,4,8.4,-3,Donald Sloan
2016-02-19,28-035,BRK,HOME,NYK,W (+11),1,30:06,5,8,.625,2,2,1.000,2,2,1.000,1,9,10,4,2,1,1,1,14,17.9,+6,Donald Sloan
2016-02-21,28-037,BRK,HOME,CHO,L (-8),1,30:28,2,8,.250,1,4,.250,4,4,1.000,0,2,2,2,1,0,2,2,9,4.4,0,Donald Sloan
2016-02-23,28-039,BRK,AWAY,POR,L (-8),1,32:53,6,10,.600,0,3,.000,2,4,.500,0,5,5,4,1,0,0,3,14,12.7,-5,Donald Sloan
2016-02-25,28-041,BRK,AWAY,PHO,W (+10),1,24:01,3,6,.500,0,1,.000,7,10,.700,0,9,9,6,0,0,1,0,13,14.7,+3,Donald Sloan
2016-02-27,28-043,BRK,AWAY,UTA,W (+2),1,26:50,3,5,.600,0,1,.000,4,8,.500,0,2,2,6,1,0,1,2,10,10.1,-3,Donald Sloan
2016-02-29,28-045,BRK,AWAY,LAC,L (-10),1,23:34,2,8,.250,1,3,.333,5,6,.833,0,3,3,4,2,0,2,0,10,8.5,-5,Donald Sloan
2016-03-01,28-046,BRK,AWAY,LAL,L (-6),1,30:02,4,11,.364,0,1,.000,3,3,1.000,0,2,2,6,1,0,1,3,11,8.5,+5,Donald Sloan
2016-03-04,28-049,BRK,AWAY,DEN,W (+1),1,18:07,3,5,.600,1,2,.500,0,0,,0,2,2,6,0,1,1,0,7,9.2,-3,Donald Sloan
2016-03-05,28-050,BRK,AWAY,MIN,L (-14),1,14:14,3,5,.600,1,2,.500,0,0,,0,0,0,2,0,0,4,3,7,0.9,-16,Donald Sloan
2016-03-08,28-053,BRK,AWAY,TOR,L (-5),1,27:56,1,6,.167,0,0,,0,0,,0,2,2,5,1,0,3,5,2,-1.7,-8,Donald Sloan
2016-03-11,28-056,BRK,AWAY,PHI,L (-6),1,33:30,4,13,.308,1,3,.333,5,5,1.000,1,8,9,9,1,0,0,1,14,16.5,+1,Donald Sloan
2016-03-13,28-058,BRK,HOME,MIL,L (-9),1,27:36,3,6,.500,1,3,.333,0,0,,0,3,3,3,1,0,2,0,7,6.0,-14,Donald Sloan
2016-03-15,28-060,BRK,HOME,PHI,W (+17),1,24:00,3,5,.600,0,1,.000,3,4,.750,0,2,2,3,1,0,1,1,9,8.6,+14,Donald Sloan
2016-03-17,28-062,BRK,AWAY,CHI,L (-16),1,29:52,6,10,.600,1,2,.500,0,0,,0,0,0,3,2,0,2,4,13,8.9,+9,Donald Sloan
2016-03-19,28-064,BRK,AWAY,DET,L (-12),1,24:00,3,6,.500,0,1,.000,0,0,,0,1,1,9,0,0,1,2,6,7.8,-4,Donald Sloan
2016-03-22,28-067,BRK,HOME,CHO,L (-5),1,26:44,0,5,.000,0,2,.000,0,0,,0,3,3,6,0,0,0,1,0,1.2,-9,Donald Sloan
2016-03-24,28-069,BRK,HOME,CLE,W (+9),0,17:15,2,3,.667,1,1,1.000,0,0,,0,6,6,6,0,0,0,0,5,9.7,+13,Donald Sloan
2016-03-26,28-071,BRK,HOME,IND,W (+10),0,21:14,3,3,1.000,0,0,,5,5,1.000,0,5,5,5,1,0,3,1,11,12.7,+5,Donald Sloan
2016-03-28,28-073,BRK,AWAY,MIA,L (-11),0,18:51,1,3,.333,0,1,.000,0,2,.000,0,1,1,3,0,0,1,0,2,0.9,-5,Donald Sloan
2016-03-29,28-074,BRK,AWAY,ORL,L (-34),0,6:33,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-15,Donald Sloan
2016-03-31,28-076,BRK,AWAY,CLE,L (-20),0,20:38,4,9,.444,1,3,.333,2,2,1.000,0,0,0,5,1,0,1,0,11,9.8,+1,Donald Sloan
2016-04-01,28-077,BRK,AWAY,NYK,L (-14),0,13:31,1,2,.500,0,0,,0,0,,0,1,1,3,0,0,0,0,2,3.4,-2,Donald Sloan
2016-04-03,28-079,BRK,HOME,NOP,L (-19),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Donald Sloan
2016-04-06,28-082,BRK,AWAY,WAS,L (-18),0,17:24,0,5,.000,0,0,,0,0,,0,0,0,5,0,0,1,0,0,-1.0,-10,Donald Sloan
2016-04-08,28-084,BRK,AWAY,CHO,L (-14),0,23:19,4,7,.571,0,0,,0,0,,1,1,2,5,0,1,3,0,8,6.9,-13,Donald Sloan
2016-04-10,28-086,BRK,AWAY,IND,L (-24),0,34:35,6,13,.462,3,7,.429,4,6,.667,0,3,3,5,0,0,0,1,19,15.5,-13,Donald Sloan
2016-04-11,28-087,BRK,HOME,WAS,L (-9),0,18:46,4,7,.571,1,2,.500,0,0,,0,2,2,4,0,0,0,2,9,8.3,-1,Donald Sloan
2016-04-13,28-089,BRK,HOME,TOR,L (-7),0,26:01,5,12,.417,1,3,.333,0,0,,1,2,3,10,0,0,0,4,11,11.3,-5,Donald Sloan
2015-10-28,27-129,BRK,HOME,CHI,L (-15),1,24:28,6,12,.500,0,0,,0,0,,3,2,5,0,1,0,3,4,12,5.1,-15,Thaddeus Young
2015-10-30,27-131,BRK,AWAY,SAS,L (-27),1,28:25,4,11,.364,1,2,.500,0,3,.000,2,5,7,0,0,0,1,2,9,2.8,-24,Thaddeus Young
2015-10-31,27-132,BRK,AWAY,MEM,L (-10),1,31:44,5,8,.625,0,0,,1,2,.500,0,9,9,2,2,1,2,4,11,10.2,+2,Thaddeus Young
2015-11-02,27-134,BRK,HOME,MIL,L (-7),1,25:19,6,11,.545,0,0,,1,1,1.000,2,4,6,5,0,1,1,2,13,12.7,+14,Thaddeus Young
2015-11-04,27-136,BRK,AWAY,ATL,L (-14),1,33:56,7,13,.538,0,1,.000,0,0,,4,5,9,3,1,1,4,3,14,10.6,-11,Thaddeus Young
2015-11-06,27-138,BRK,HOME,LAL,L (-6),1,33:46,7,15,.467,0,2,.000,0,0,,3,2,5,2,1,1,2,2,14,9.3,-2,Thaddeus Young
2015-11-07,27-139,BRK,AWAY,MIL,L (-8),1,39:22,9,18,.500,0,0,,0,0,,7,6,13,0,2,0,1,2,18,15.9,-11,Thaddeus Young
2015-11-11,27-143,BRK,AWAY,HOU,W (+8),1,22:15,5,8,.625,0,0,,3,5,.600,2,2,4,1,0,3,2,3,13,10.2,-15,Thaddeus Young
2015-11-13,27-145,BRK,AWAY,SAC,L (-2),1,29:41,8,13,.615,0,1,.000,0,0,,1,8,9,1,2,0,2,3,16,12.7,+1,Thaddeus Young
2015-11-14,27-146,BRK,AWAY,GSW,L (-8),1,38:34,12,22,.545,0,1,.000,2,2,1.000,3,7,10,3,3,0,1,2,26,22.9,0,Thaddeus Young
2015-11-17,27-149,BRK,HOME,ATL,W (+2),1,32:32,7,13,.538,0,0,,2,2,1.000,3,8,11,0,5,0,2,3,16,16.0,+16,Thaddeus Young
2015-11-18,27-150,BRK,AWAY,CHO,L (-5),1,32:53,11,17,.647,0,1,.000,5,6,.833,2,6,8,1,1,0,0,3,27,22.8,+3,Thaddeus Young
2015-11-20,27-152,BRK,AWAY,BOS,L (-25),1,28:48,7,17,.412,0,0,,0,2,.000,2,8,10,1,2,0,0,1,14,10.2,-21,Thaddeus Young
2015-11-22,27-154,BRK,HOME,BOS,W (+10),1,28:06,4,8,.500,0,0,,3,4,.750,3,9,12,1,1,0,1,3,11,10.9,+1,Thaddeus Young
2015-11-25,27-157,BRK,AWAY,OKC,L (-11),1,37:02,9,15,.600,0,1,.000,0,0,,1,7,8,3,3,0,3,1,18,15.6,-10,Thaddeus Young
2015-11-28,27-160,BRK,AWAY,CLE,L (-2),1,35:53,7,16,.438,0,1,.000,2,4,.500,2,10,12,0,1,0,0,3,16,11.0,-1,Thaddeus Young
2015-11-29,27-161,BRK,HOME,DET,W (+4),1,31:01,9,12,.750,0,0,,1,2,.500,1,9,10,3,1,1,2,3,19,17.8,+3,Thaddeus Young
2015-12-01,27-163,BRK,HOME,PHO,W (+3),1,35:37,3,14,.214,0,0,,2,4,.500,1,3,4,2,0,0,2,1,8,-0.8,-5,Thaddeus Young
2015-12-04,27-166,BRK,AWAY,NYK,L (-17),1,32:47,9,19,.474,0,0,,0,0,,4,7,11,1,1,0,3,0,18,11.9,-26,Thaddeus Young
2015-12-06,27-168,BRK,HOME,GSW,L (-16),1,35:22,11,19,.579,0,1,.000,3,6,.500,5,9,14,0,0,0,2,3,25,17.9,-18,Thaddeus Young
2015-12-08,27-170,BRK,HOME,HOU,W (+5),1,33:49,10,13,.769,0,0,,0,0,,2,10,12,5,3,0,5,2,20,20.0,+11,Thaddeus Young
2015-12-10,27-172,BRK,HOME,PHI,W (+9),1,32:54,6,13,.462,0,0,,6,9,.667,2,9,11,0,2,0,4,2,18,11.4,0,Thaddeus Young
2015-12-12,27-174,BRK,HOME,LAC,L (-5),1,35:43,9,16,.563,0,0,,0,0,,1,4,5,0,1,0,1,3,18,11.1,-8,Thaddeus Young
2015-12-14,27-176,BRK,HOME,ORL,L (-23),1,34:17,5,11,.455,0,1,.000,0,0,,2,9,11,2,1,0,1,3,10,8.6,-21,Thaddeus Young
2015-12-16,27-178,BRK,HOME,MIA,L (-6),1,29:49,4,13,.308,0,0,,0,0,,1,6,7,4,1,1,1,1,8,6.1,-4,Thaddeus Young
2015-12-18,27-180,BRK,AWAY,IND,L (-7),1,32:57,5,14,.357,0,0,,4,4,1.000,6,8,14,2,1,1,1,3,14,13.7,-1,Thaddeus Young
2015-12-20,27-182,BRK,HOME,MIN,L (-15),1,33:14,4,11,.364,0,0,,4,4,1.000,1,7,8,0,1,0,0,1,12,9.3,-24,Thaddeus Young
2015-12-21,27-183,BRK,AWAY,CHI,W (+3),1,31:11,8,15,.533,0,0,,0,0,,6,7,13,2,3,0,3,1,16,16.0,0,Thaddeus Young
2015-12-23,27-185,BRK,HOME,DAL,L (-1),1,43:12,14,20,.700,1,1,1.000,0,5,.000,6,4,10,2,4,1,2,1,29,27.7,+4,Thaddeus Young
2015-12-26,27-188,BRK,HOME,WAS,L (-15),1,36:42,8,14,.571,0,0,,0,4,.000,6,8,14,0,4,1,2,3,16,15.9,-16,Thaddeus Young
2015-12-28,27-190,BRK,AWAY,MIA,W (+6),1,33:28,4,7,.571,1,1,1.000,2,4,.500,2,4,6,0,3,0,2,6,11,8.1,-4,Thaddeus Young
2015-12-30,27-192,BRK,AWAY,ORL,L (-7),1,27:06,5,7,.714,0,0,,6,6,1.000,2,2,4,3,1,0,1,2,16,16.4,-8,Thaddeus Young
2016-01-02,27-195,BRK,AWAY,BOS,W (+3),1,32:51,7,16,.438,0,0,,2,2,1.000,5,5,10,1,1,0,1,4,16,11.7,+7,Thaddeus Young
2016-01-04,27-197,BRK,HOME,BOS,L (-9),1,37:48,9,18,.500,2,4,.500,3,4,.750,6,9,15,2,1,2,2,1,23,21.9,-7,Thaddeus Young
2016-01-06,27-199,BRK,HOME,TOR,L (-17),1,30:39,5,13,.385,0,1,.000,1,1,1.000,0,7,7,2,2,0,2,3,11,6.2,-15,Thaddeus Young
2016-01-08,27-201,BRK,HOME,ORL,L (-6),1,29:44,5,7,.714,0,0,,1,2,.500,2,7,9,3,1,0,4,5,11,8.3,-6,Thaddeus Young
2016-01-09,27-202,BRK,AWAY,DET,L (-14),1,28:42,6,14,.429,0,1,.000,0,0,,3,6,9,0,1,0,4,3,12,4.3,-6,Thaddeus Young
2016-01-11,27-204,BRK,HOME,SAS,L (-27),1,28:03,4,10,.400,0,1,.000,1,2,.500,0,9,9,1,0,0,4,2,9,1.8,-16,Thaddeus Young
2016-01-13,27-206,BRK,HOME,NYK,W (+6),1,39:01,9,18,.500,0,0,,1,2,.500,4,7,11,3,3,0,1,1,19,18.2,+23,Thaddeus Young
2016-01-15,27-208,BRK,HOME,POR,L (-12),1,33:47,5,11,.455,0,0,,1,2,.500,4,4,8,3,2,1,2,1,11,11.3,+3,Thaddeus Young
2016-01-16,27-209,BRK,AWAY,ATL,L (-28),1,26:40,8,12,.667,0,0,,2,4,.500,0,7,7,0,2,1,1,4,18,14.2,-1,Thaddeus Young
2016-01-18,27-211,BRK,AWAY,TOR,L (-12),1,34:40,4,11,.364,0,0,,3,3,1.000,2,7,9,2,0,1,3,3,11,6.3,0,Thaddeus Young
2016-01-20,27-213,BRK,HOME,CLE,L (-13),1,24:39,7,14,.500,0,1,.000,0,1,.000,1,4,5,1,1,0,1,6,14,6.8,-5,Thaddeus Young
2016-01-22,27-215,BRK,HOME,UTA,L (-22),1,26:46,5,10,.500,0,1,.000,0,2,.000,0,2,2,1,0,0,0,1,10,5.1,-16,Thaddeus Young
2016-01-24,27-217,BRK,HOME,OKC,W (+10),1,39:01,7,17,.412,0,0,,0,0,,7,7,14,3,1,1,1,0,14,14.7,+6,Thaddeus Young
2016-01-26,27-219,BRK,HOME,MIA,L (-4),1,31:46,6,11,.545,0,0,,0,2,.000,0,5,5,0,1,0,1,5,12,5.4,+3,Thaddeus Young
2016-01-29,27-222,BRK,AWAY,DAL,L (-12),1,41:02,4,13,.308,0,0,,3,4,.750,2,8,10,1,5,0,2,0,11,10.6,0,Thaddeus Young
2016-01-30,27-223,BRK,AWAY,NOP,L (-2),1,34:06,7,11,.636,0,0,,2,2,1.000,2,6,8,4,1,0,2,1,16,15.7,+1,Thaddeus Young
2016-02-01,27-225,BRK,HOME,DET,L (-5),1,24:34,3,7,.429,0,0,,2,2,1.000,0,5,5,0,0,1,1,3,8,4.3,-9,Thaddeus Young
2016-02-03,27-227,BRK,HOME,IND,L (-14),1,34:44,6,12,.500,0,0,,4,6,.667,3,11,14,1,0,0,4,1,16,10.9,-10,Thaddeus Young
2016-02-05,27-229,BRK,HOME,SAC,W (+9),1,38:34,6,10,.600,0,0,,2,2,1.000,1,13,14,7,2,0,3,1,14,17.5,+14,Thaddeus Young
2016-02-06,27-230,BRK,AWAY,PHI,L (-5),1,39:02,10,15,.667,0,0,,2,4,.500,1,9,10,3,1,1,5,1,22,16.5,-7,Thaddeus Young
2016-02-08,27-232,BRK,HOME,DEN,W (+1),1,37:11,9,15,.600,0,0,,2,2,1.000,0,7,7,2,1,3,3,2,20,15.9,+3,Thaddeus Young
2016-02-10,27-234,BRK,HOME,MEM,L (-19),1,25:03,5,11,.455,0,0,,0,0,,2,7,9,2,0,0,0,2,10,8.4,-1,Thaddeus Young
2016-02-19,27-243,BRK,HOME,NYK,W (+11),1,37:49,6,16,.375,0,0,,1,2,.500,1,8,9,5,2,0,0,5,13,10.4,+16,Thaddeus Young
2016-02-21,27-245,BRK,HOME,CHO,L (-8),1,37:34,6,10,.600,0,0,,2,2,1.000,1,7,8,5,3,0,6,3,14,11.5,-2,Thaddeus Young
2016-02-23,27-247,BRK,AWAY,POR,L (-8),1,36:00,3,11,.273,0,0,,2,2,1.000,2,9,11,2,0,0,1,2,8,5.2,-7,Thaddeus Young
2016-02-25,27-249,BRK,AWAY,PHO,W (+10),1,35:42,8,11,.727,0,0,,2,2,1.000,3,5,8,3,7,3,1,2,18,26.5,+13,Thaddeus Young
2016-02-27,27-251,BRK,AWAY,UTA,W (+2),1,36:27,10,16,.625,1,1,1.000,0,0,,3,5,8,0,3,0,3,3,21,16.2,-6,Thaddeus Young
2016-02-29,27-253,BRK,AWAY,LAC,L (-10),1,37:13,4,12,.333,0,0,,1,1,1.000,2,9,11,4,1,0,2,3,9,6.9,-6,Thaddeus Young
2016-03-01,27-254,BRK,AWAY,LAL,L (-6),1,34:13,6,14,.429,0,1,.000,7,8,.875,4,11,15,2,1,0,1,2,19,17.9,0,Thaddeus Young
2016-03-04,27-257,BRK,AWAY,DEN,W (+1),1,39:25,8,16,.500,0,0,,0,2,.000,1,4,5,2,2,1,1,4,16,10.6,+1,Thaddeus Young
2016-03-08,27-261,BRK,AWAY,TOR,L (-5),1,31:55,7,15,.467,0,1,.000,0,0,,1,3,4,1,0,1,1,5,14,6.3,0,Thaddeus Young
2016-03-11,27-264,BRK,AWAY,PHI,L (-6),1,39:54,8,20,.400,0,1,.000,5,8,.625,4,5,9,2,2,0,1,3,21,14.5,-1,Thaddeus Young
2016-03-13,27-266,BRK,HOME,MIL,L (-9),1,36:35,8,15,.533,1,2,.500,0,0,,2,8,10,4,1,0,1,3,17,15.1,-12,Thaddeus Young
2016-03-15,27-268,BRK,HOME,PHI,W (+17),1,32:40,5,9,.556,0,0,,4,4,1.000,4,12,16,4,2,3,0,6,14,20.6,+21,Thaddeus Young
2016-03-17,27-270,BRK,AWAY,CHI,L (-16),1,30:54,7,11,.636,0,0,,2,2,1.000,4,10,14,1,2,2,0,2,16,20.2,+9,Thaddeus Young
2016-03-19,27-272,BRK,AWAY,DET,L (-12),1,25:48,12,17,.706,0,1,.000,0,2,.000,1,8,9,2,1,2,0,2,24,22.2,+2,Thaddeus Young
2016-03-22,27-275,BRK,HOME,CHO,L (-5),1,35:38,5,12,.417,0,0,,0,0,,1,7,8,1,0,0,6,4,10,-0.5,-8,Thaddeus Young
2016-03-24,27-277,BRK,HOME,CLE,W (+9),1,30:51,4,9,.444,0,0,,0,0,,3,3,6,2,2,0,1,3,8,7.5,+3,Thaddeus Young
2016-03-26,27-279,BRK,HOME,IND,W (+10),1,29:48,4,8,.500,0,0,,0,0,,1,2,3,2,1,1,1,1,8,7.0,+1,Thaddeus Young
2016-03-28,27-281,BRK,AWAY,MIA,L (-11),1,30:55,10,12,.833,0,0,,0,0,,1,8,9,3,3,1,1,1,20,23.1,-2,Thaddeus Young
2016-03-31,27-284,BRK,AWAY,CLE,L (-20),1,27:49,9,18,.500,0,0,,0,0,,4,4,8,0,1,0,5,2,18,8.2,-24,Thaddeus Young
