DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2020-12-25,25-319,MIL,HOME,GSW,W (+39),0,25:53,5,9,.556,0,3,.000,0,0,,1,11,12,2,1,1,1,1,10,11.4,+20,Bobby Portis
2020-12-27,25-321,MIL,AWAY,NYK,L (-20),0,26:07,7,12,.583,1,2,.500,2,2,1.000,5,2,7,2,1,1,1,5,17,15.6,+6,Bobby Portis
2020-12-29,25-323,MIL,AWAY,MIA,W (+47),0,26:20,4,10,.400,1,3,.333,2,2,1.000,3,6,9,1,1,0,2,4,11,7.6,+27,Bobby Portis
2020-12-30,25-324,MIL,AWAY,MIA,L (-11),0,17:57,4,8,.500,1,2,.500,2,2,1.000,1,1,2,0,1,1,0,1,11,9.3,-11,Bobby Portis
2021-01-01,25-326,MIL,HOME,CHI,W (+30),0,25:12,4,6,.667,2,2,1.000,3,4,.750,2,10,12,1,0,2,2,2,13,13.7,+9,Bobby Portis
2021-01-04,25-329,MIL,HOME,DET,W (+10),0,22:35,5,8,.625,0,1,.000,0,0,,3,5,8,1,0,0,0,0,10,10.7,+5,Bobby Portis
2021-01-06,25-331,MIL,HOME,DET,W (+15),0,27:55,7,11,.636,2,5,.400,0,0,,1,9,10,4,2,0,1,3,16,17.1,-1,Bobby Portis
2021-01-08,25-333,MIL,HOME,UTA,L (-13),0,19:45,1,5,.200,0,0,,0,0,,3,5,8,0,0,0,1,1,2,1.1,-10,Bobby Portis
2021-01-09,25-334,MIL,HOME,CLE,W (+10),1,33:27,7,11,.636,1,2,.500,2,3,.667,3,8,11,3,4,0,5,2,17,16.5,+6,Bobby Portis
2021-01-11,25-336,MIL,AWAY,ORL,W (+22),0,24:38,9,13,.692,2,3,.667,0,0,,2,3,5,0,0,1,1,3,20,15.3,+14,Bobby Portis
2021-01-13,25-338,MIL,AWAY,DET,W (+9),0,22:52,5,9,.556,1,4,.250,0,0,,0,5,5,0,2,0,0,4,11,8.6,-11,Bobby Portis
2021-01-15,25-340,MIL,HOME,DAL,W (+3),0,17:21,3,8,.375,1,1,1.000,1,3,.333,5,8,13,0,0,0,0,1,8,8.3,-6,Bobby Portis
2021-01-18,25-343,MIL,AWAY,BRK,L (-2),0,14:25,2,4,.500,0,0,,0,0,,2,5,7,0,1,0,0,2,4,5.1,+10,Bobby Portis
2021-01-21,25-346,MIL,HOME,LAL,L (-7),0,16:21,2,6,.333,0,1,.000,0,0,,1,7,8,2,0,1,0,1,4,5.1,+2,Bobby Portis
2021-01-24,25-349,MIL,HOME,ATL,W (+14),0,26:38,9,16,.563,1,2,.500,2,2,1.000,2,4,6,1,0,0,0,2,21,15.9,-1,Bobby Portis
2021-01-27,25-352,MIL,AWAY,TOR,W (+7),0,17:26,3,7,.429,2,4,.500,0,0,,0,4,4,0,1,0,1,0,8,5.5,-2,Bobby Portis
2021-01-29,25-354,MIL,AWAY,NOP,L (-5),0,12:47,2,4,.500,0,0,,1,2,.500,3,1,4,1,0,0,1,1,5,4.3,-7,Bobby Portis
2021-01-30,25-355,MIL,AWAY,CHO,L (-12),0,19:50,5,5,1.000,1,1,1.000,0,0,,3,3,6,2,0,0,1,4,11,11.3,+1,Bobby Portis
2021-02-01,25-357,MIL,HOME,POR,W (+28),0,23:44,9,13,.692,3,5,.600,0,1,.000,1,7,8,2,2,1,1,2,21,20.2,+31,Bobby Portis
2021-02-03,25-359,MIL,HOME,IND,W (+20),0,16:42,7,13,.538,4,5,.800,0,0,,3,6,9,3,3,1,0,2,18,20.6,+19,Bobby Portis
2021-02-05,25-361,MIL,AWAY,CLE,W (+18),0,23:34,7,14,.500,0,1,.000,0,0,,1,5,6,0,1,1,0,1,14,10.5,+17,Bobby Portis
2021-02-06,25-362,MIL,AWAY,CLE,W (+25),0,20:06,1,5,.200,0,1,.000,1,2,.500,1,7,8,1,0,0,0,4,3,1.4,+28,Bobby Portis
2021-02-08,25-364,MIL,AWAY,DEN,W (+13),0,20:15,3,7,.429,1,3,.333,0,0,,1,5,6,0,0,1,0,1,7,5.8,+16,Bobby Portis
2021-02-10,26-000,MIL,AWAY,PHO,L (-1),0,19:21,5,7,.714,1,1,1.000,1,2,.500,3,6,9,1,1,0,0,1,12,13.9,-5,Bobby Portis
2021-02-12,26-002,MIL,AWAY,UTA,L (-14),0,20:41,7,13,.538,1,4,.250,0,0,,1,4,5,1,0,0,0,2,15,10.5,-6,Bobby Portis
2021-02-14,26-004,MIL,AWAY,OKC,L (-5),0,27:57,9,14,.643,2,3,.667,1,1,1.000,3,3,6,0,3,0,1,1,21,19.4,+6,Bobby Portis
2021-02-16,26-006,MIL,HOME,TOR,L (-11),0,23:46,7,11,.636,2,3,.667,0,0,,0,6,6,2,1,0,1,4,16,12.7,-2,Bobby Portis
2021-02-18,26-008,MIL,HOME,TOR,L (-14),0,19:16,1,3,.333,0,0,,0,0,,3,4,7,2,0,0,2,2,2,2.2,-18,Bobby Portis
2021-02-19,26-009,MIL,HOME,OKC,W (+13),0,16:14,3,8,.375,1,2,.500,0,1,.000,1,7,8,1,0,0,0,0,7,5.7,0,Bobby Portis
2021-02-21,26-011,MIL,HOME,SAC,W (+13),0,23:39,3,7,.429,2,2,1.000,0,0,,3,5,8,0,0,0,1,2,8,6.1,-10,Bobby Portis
2021-02-23,26-013,MIL,HOME,MIN,W (+27),0,22:36,6,11,.545,2,4,.500,0,0,,1,5,6,2,2,2,0,2,14,14.9,+21,Bobby Portis
2021-02-25,26-015,MIL,HOME,NOP,W (+4),1,31:26,5,9,.556,2,4,.500,0,0,,2,6,8,0,0,2,1,2,12,10.5,+19,Bobby Portis
2021-02-28,26-018,MIL,HOME,LAC,W (+5),0,20:26,3,5,.600,1,1,1.000,2,2,1.000,1,6,7,1,3,0,0,1,9,12.5,-12,Bobby Portis
2021-03-02,26-020,MIL,HOME,DEN,L (-31),0,16:52,1,3,.333,0,0,,2,2,1.000,1,3,4,0,0,0,3,4,4,-0.7,-12,Bobby Portis
2021-03-04,26-022,MIL,AWAY,MEM,W (+1),0,15:07,4,6,.667,0,1,.000,0,0,,0,3,3,0,0,0,0,2,8,5.5,-4,Bobby Portis
2021-03-11,26-029,MIL,HOME,NYK,W (+33),0,19:31,3,6,.500,0,2,.000,2,2,1.000,0,3,3,2,1,1,1,1,8,7.6,+1,Bobby Portis
2021-03-13,26-031,MIL,AWAY,WAS,W (+6),0,21:42,5,12,.417,4,8,.500,0,0,,1,7,8,1,1,0,1,1,14,10.7,+13,Bobby Portis
2021-03-15,26-033,MIL,AWAY,WAS,W (+11),0,15:42,6,9,.667,1,2,.500,0,0,,1,3,4,1,0,0,2,1,13,9.0,-7,Bobby Portis
2021-03-17,26-035,MIL,AWAY,PHI,W (+4),0,12:28,1,8,.125,0,2,.000,0,0,,3,2,5,0,0,0,0,1,2,-0.9,-5,Bobby Portis
2021-03-20,26-038,MIL,HOME,SAS,W (+7),0,15:30,3,7,.429,0,2,.000,0,0,,2,2,4,0,0,1,0,2,6,4.2,-11,Bobby Portis
2021-03-22,26-040,MIL,HOME,IND,W (+27),0,25:28,8,14,.571,2,4,.500,0,0,,1,9,10,4,0,0,2,1,18,15.2,+11,Bobby Portis
2021-03-24,26-042,MIL,HOME,BOS,W (+2),0,16:39,7,10,.700,4,6,.667,3,3,1.000,1,3,4,1,1,0,0,2,21,19.3,-7,Bobby Portis
2021-04-02,26-051,MIL,AWAY,POR,W (+18),0,17:09,3,9,.333,0,2,.000,0,0,,0,7,7,1,1,0,0,0,6,4.7,+11,Bobby Portis
2021-04-03,26-052,MIL,AWAY,SAC,W (+1),0,20:18,8,9,.889,0,0,,2,2,1.000,1,5,6,1,0,0,1,0,18,16.8,+8,Bobby Portis
2021-04-06,26-055,MIL,AWAY,GSW,L (-1),1,28:16,5,10,.500,2,3,.667,1,2,.500,0,13,13,0,1,0,0,0,13,12.5,+6,Bobby Portis
2021-04-08,26-057,MIL,AWAY,DAL,L (-15),1,34:47,8,19,.421,1,4,.250,3,4,.750,3,11,14,2,1,0,0,1,20,16.9,-17,Bobby Portis
2021-04-09,26-058,MIL,HOME,CHO,L (-8),1,25:09,5,15,.333,0,2,.000,0,0,,7,6,13,1,0,2,6,2,10,3.5,-2,Bobby Portis
2021-04-11,26-060,MIL,AWAY,ORL,W (+37),0,23:29,6,12,.500,4,6,.667,0,0,,1,9,10,1,1,0,2,1,16,12.7,+23,Bobby Portis
2021-04-14,26-063,MIL,AWAY,MIN,W (+25),1,24:41,6,13,.462,1,2,.500,0,0,,3,4,7,5,2,0,0,2,13,14.3,+14,Bobby Portis
2021-04-15,26-064,MIL,AWAY,ATL,W (+11),0,21:38,4,9,.444,1,2,.500,2,2,1.000,2,5,7,2,1,0,0,1,11,11.2,+16,Bobby Portis
2021-04-17,26-066,MIL,HOME,MEM,L (-13),0,9:19,2,5,.400,1,3,.333,1,2,.500,0,1,1,0,0,0,1,0,6,2.2,-9,Bobby Portis
2021-04-19,26-068,MIL,HOME,PHO,L (-1),0,14:28,2,5,.400,0,1,.000,2,2,1.000,0,2,2,0,0,0,1,2,6,2.1,-1,Bobby Portis
2021-04-22,26-071,MIL,HOME,PHI,W (+7),0,22:35,9,11,.818,5,5,1.000,0,0,,1,4,5,1,1,3,1,3,23,22.4,-10,Bobby Portis
2021-04-24,26-073,MIL,HOME,PHI,W (+38),0,19:18,8,14,.571,1,3,.333,0,0,,6,2,8,0,0,0,0,3,17,14.0,+9,Bobby Portis
2021-04-25,26-074,MIL,AWAY,ATL,L (-7),0,22:23,3,7,.429,2,3,.667,2,2,1.000,0,5,5,0,0,0,2,2,10,5.0,+1,Bobby Portis
2021-04-27,26-076,MIL,AWAY,CHO,W (+10),0,13:19,2,6,.333,0,2,.000,1,2,.500,1,4,5,3,0,0,1,3,5,3.0,+8,Bobby Portis
2021-04-29,26-078,MIL,AWAY,HOU,L (-7),0,23:38,4,8,.500,0,0,,2,2,1.000,3,8,11,3,4,0,2,4,10,13.0,+3,Bobby Portis
2021-04-30,26-079,MIL,AWAY,CHI,W (+10),1,28:24,7,10,.700,1,2,.500,1,2,.500,2,12,14,1,2,1,0,5,16,17.8,-9,Bobby Portis
2021-05-02,26-081,MIL,HOME,BRK,W (+3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Bobby Portis
2021-05-04,26-083,MIL,HOME,BRK,W (+6),0,16:15,2,6,.333,0,2,.000,1,2,.500,0,4,4,0,1,1,1,1,5,2.7,-7,Bobby Portis
2021-05-05,26-084,MIL,HOME,WAS,W (+1),0,16:11,4,10,.400,1,3,.333,0,0,,2,4,6,0,1,0,0,0,9,7.2,-6,Bobby Portis
2021-05-07,26-086,MIL,HOME,HOU,W (+8),0,15:05,7,14,.500,1,2,.500,1,2,.500,5,3,8,1,0,0,2,0,16,11.7,-13,Bobby Portis
2021-05-10,26-089,MIL,AWAY,SAS,L (-21),0,16:18,5,11,.455,1,2,.500,2,2,1.000,2,3,5,0,1,1,0,1,13,10.9,-9,Bobby Portis
2021-05-11,26-090,MIL,HOME,ORL,W (+12),0,20:45,4,11,.364,0,1,.000,2,4,.500,8,7,15,1,1,1,1,1,10,11.8,-2,Bobby Portis
2021-05-13,26-092,MIL,AWAY,IND,W (+9),0,17:00,5,6,.833,2,2,1.000,0,0,,0,4,4,1,0,0,0,1,12,11.3,-7,Bobby Portis
2021-05-15,26-094,MIL,HOME,MIA,W (+14),0,19:16,5,8,.625,1,3,.333,3,3,1.000,1,2,3,1,1,0,1,3,14,11.2,+11,Bobby Portis
2020-12-23,32-196,BOS,HOME,MIL,W (+1),0,25:00,7,15,.467,4,4,1.000,1,2,.500,2,1,3,4,2,1,0,1,19,17.7,+8,Jeff Teague
2020-12-25,32-198,BOS,HOME,BRK,L (-28),0,21:18,0,5,.000,0,1,.000,0,0,,0,1,1,2,1,0,2,1,0,-3.2,0,Jeff Teague
2020-12-27,32-200,BOS,AWAY,IND,L (-1),0,21:51,0,6,.000,0,0,,9,10,.900,0,3,3,2,2,0,1,2,9,6.9,0,Jeff Teague
2020-12-29,32-202,BOS,AWAY,IND,W (+5),0,19:06,2,7,.286,2,3,.667,0,0,,0,2,2,2,1,1,1,3,6,3.4,+9,Jeff Teague
2020-12-30,32-203,BOS,HOME,MEM,W (+19),1,21:20,2,6,.333,0,2,.000,0,0,,0,5,5,4,4,0,1,1,4,7.5,+22,Jeff Teague
2021-01-01,32-205,BOS,AWAY,DET,L (-3),0,20:09,4,5,.800,1,1,1.000,3,4,.750,0,1,1,3,2,0,1,3,12,11.9,+5,Jeff Teague
2021-01-03,32-207,BOS,AWAY,DET,W (+2),0,15:38,1,4,.250,0,1,.000,0,0,,1,2,3,2,0,0,0,1,2,1.9,+1,Jeff Teague
2021-01-08,32-212,BOS,HOME,WAS,W (+9),0,14:41,2,6,.333,0,1,.000,0,0,,1,2,3,2,0,0,2,1,4,0.9,-1,Jeff Teague
2021-01-15,32-219,BOS,HOME,ORL,W (+27),1,20:53,5,10,.500,2,4,.500,5,5,1.000,0,1,1,2,2,0,1,0,17,14.7,+14,Jeff Teague
2021-01-17,32-221,BOS,HOME,NYK,L (-30),0,14:28,0,4,.000,0,2,.000,0,0,,0,2,2,2,1,0,1,2,0,-1.6,-15,Jeff Teague
2021-01-20,32-224,BOS,AWAY,PHI,L (-8),0,17:53,2,7,.286,0,0,,1,1,1.000,0,3,3,2,0,0,2,1,5,0.8,+9,Jeff Teague
2021-01-22,32-226,BOS,AWAY,PHI,L (-12),0,17:53,1,5,.200,1,3,.333,0,0,,0,0,0,2,1,0,1,0,3,1.3,-5,Jeff Teague
2021-01-24,32-228,BOS,HOME,CLE,W (+38),0,12:26,0,0,,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-1.3,+7,Jeff Teague
2021-01-25,32-229,BOS,AWAY,CHI,W (+16),0,22:18,3,8,.375,0,1,.000,2,2,1.000,0,2,2,4,0,0,0,0,8,7.0,-1,Jeff Teague
2021-01-27,32-231,BOS,AWAY,SAS,L (-4),0,7:38,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,1,0,-0.8,+4,Jeff Teague
2021-01-30,32-234,BOS,HOME,LAL,L (-1),0,15:21,2,6,.333,0,0,,0,0,,0,1,1,2,1,0,0,1,4,2.9,+2,Jeff Teague
2021-02-02,32-237,BOS,AWAY,GSW,W (+4),0,17:09,3,6,.500,1,2,.500,2,2,1.000,0,0,0,2,1,0,2,0,9,6.4,-4,Jeff Teague
2021-02-03,32-238,BOS,AWAY,SAC,L (-5),1,23:08,1,6,.167,1,3,.333,4,4,1.000,1,0,1,1,1,0,1,2,7,3.8,+5,Jeff Teague
2021-02-05,32-240,BOS,AWAY,LAC,W (+4),0,16:41,0,4,.000,0,3,.000,0,0,,1,1,2,4,1,0,1,0,0,1.0,+1,Jeff Teague
2021-02-07,32-242,BOS,AWAY,PHO,L (-9),0,17:58,4,8,.500,2,2,1.000,0,0,,0,1,1,0,1,0,1,0,10,6.3,+8,Jeff Teague
2021-02-09,32-244,BOS,AWAY,UTA,L (-14),0,2:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,Jeff Teague
2021-02-12,32-247,BOS,HOME,DET,L (-6),0,22:03,3,7,.429,2,3,.667,0,0,,0,0,0,2,0,0,2,1,8,3.3,-11,Jeff Teague
2021-02-17,32-252,BOS,HOME,ATL,L (-8),0,9:00,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,3,3,0,-4.6,-3,Jeff Teague
2021-02-24,32-259,BOS,AWAY,ATL,L (-15),1,28:34,4,9,.444,0,1,.000,6,6,1.000,0,5,5,5,1,1,1,2,14,14.2,-22,Jeff Teague
2021-02-26,32-261,BOS,HOME,IND,W (+6),0,19:05,3,5,.600,1,1,1.000,7,8,.875,0,2,2,2,0,0,3,4,14,8.7,+3,Jeff Teague
2021-02-28,32-263,BOS,HOME,WAS,W (+1),0,21:32,2,5,.400,0,2,.000,2,2,1.000,0,0,0,1,0,0,2,2,6,1.2,-3,Jeff Teague
2021-03-02,32-265,BOS,HOME,LAC,W (+5),0,13:16,2,2,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,1,5,5.0,+6,Jeff Teague
2021-03-04,32-267,BOS,HOME,TOR,W (+7),0,27:12,6,7,.857,1,2,.500,1,2,.500,0,1,1,4,1,1,1,1,14,14.5,+7,Jeff Teague
2021-03-11,32-274,BOS,AWAY,BRK,L (-12),0,15:18,1,1,1.000,1,1,1.000,2,4,.500,0,1,1,1,0,1,1,0,5,4.6,-13,Jeff Teague
2021-03-14,32-277,BOS,AWAY,HOU,W (+27),0,14:23,1,4,.250,1,3,.333,0,0,,1,3,4,2,1,0,0,2,3,3.8,+23,Jeff Teague
2021-03-16,32-279,BOS,HOME,UTA,L (-8),0,9:33,0,1,.000,0,1,.000,0,0,,0,3,3,2,0,0,0,1,0,1.2,-4,Jeff Teague
2021-03-17,32-280,BOS,AWAY,CLE,L (-7),0,14:33,2,5,.400,0,0,,0,0,,0,0,0,1,1,1,2,2,4,0.9,-8,Jeff Teague
2021-03-22,32-285,BOS,AWAY,MEM,L (-6),1,39:18,10,12,.833,2,2,1.000,4,7,.571,0,0,0,6,0,0,3,3,26,20.4,+1,Jeff Teague
2021-03-24,32-287,BOS,AWAY,MIL,L (-2),0,16:42,5,7,.714,3,4,.750,2,2,1.000,2,1,3,2,1,0,1,1,15,14.8,+11,Jeff Teague
2021-04-02,32-296,MIL,AWAY,POR,W (+18),0,13:16,1,1,1.000,0,0,,0,0,,0,1,1,2,0,2,1,0,2,3.8,-7,Jeff Teague
2021-04-03,32-297,MIL,AWAY,SAC,W (+1),0,17:36,1,5,.200,0,2,.000,0,0,,0,1,1,5,0,0,0,0,2,2.7,+2,Jeff Teague
2021-04-06,32-300,MIL,AWAY,GSW,L (-1),0,15:35,5,7,.714,2,2,1.000,3,3,1.000,0,1,1,3,0,0,0,3,15,13.3,-2,Jeff Teague
2021-04-08,32-302,MIL,AWAY,DAL,L (-15),0,15:30,1,3,.333,0,1,.000,4,4,1.000,0,1,1,3,0,0,2,2,6,3.9,-5,Jeff Teague
2021-04-09,32-303,MIL,HOME,CHO,L (-8),1,28:01,8,11,.727,1,2,.500,2,3,.667,0,2,2,6,1,0,0,1,19,19.5,-9,Jeff Teague
2021-04-11,32-305,MIL,AWAY,ORL,W (+37),0,14:23,0,1,.000,0,1,.000,2,2,1.000,0,2,2,3,0,1,1,0,2,3.7,+13,Jeff Teague
2021-04-14,32-308,MIL,AWAY,MIN,W (+25),0,16:23,1,6,.167,1,2,.500,2,2,1.000,0,1,1,1,0,0,1,0,5,1.2,-3,Jeff Teague
2021-04-15,32-309,MIL,AWAY,ATL,W (+11),0,26:37,3,8,.375,0,2,.000,5,6,.833,1,1,2,5,0,0,1,2,11,8.9,+18,Jeff Teague
2021-04-17,32-311,MIL,HOME,MEM,L (-13),0,13:14,0,1,.000,0,0,,0,0,,1,2,3,1,0,0,1,0,0,0.3,-7,Jeff Teague
2021-04-19,32-313,MIL,HOME,PHO,L (-1),0,11:55,3,6,.500,0,2,.000,0,0,,1,3,4,0,0,0,1,0,6,3.6,+1,Jeff Teague
2021-04-24,32-318,MIL,HOME,PHI,W (+38),0,15:11,0,2,.000,0,0,,1,2,.500,0,1,1,8,1,0,2,2,1,3.3,+1,Jeff Teague
2021-04-25,32-319,MIL,AWAY,ATL,L (-7),0,12:56,0,2,.000,0,2,.000,0,0,,0,2,2,2,0,0,1,1,0,-0.8,-2,Jeff Teague
2021-04-29,32-323,MIL,AWAY,HOU,L (-7),0,10:09,2,3,.667,0,1,.000,2,2,1.000,0,1,1,2,0,0,1,0,6,5.4,+1,Jeff Teague
2021-04-30,32-324,MIL,AWAY,CHI,W (+10),0,23:05,3,5,.600,0,0,,5,5,1.000,0,0,0,4,0,0,2,0,11,9.5,-15,Jeff Teague
2021-05-02,32-326,MIL,HOME,BRK,W (+3),0,10:42,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,1,0,2,-0.1,+4,Jeff Teague
2021-05-05,32-329,MIL,HOME,WAS,W (+1),0,22:42,4,6,.667,1,2,.500,2,3,.667,1,1,2,4,1,0,1,2,11,11.0,+14,Jeff Teague
2021-05-07,32-331,MIL,HOME,HOU,W (+8),0,8:03,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,3,0,2,0.4,-1,Jeff Teague
2021-05-10,32-334,MIL,AWAY,SAS,L (-21),0,6:37,0,3,.000,0,1,.000,0,0,,0,0,0,1,0,1,1,0,0,-1.7,+2,Jeff Teague
2021-05-11,32-335,MIL,HOME,ORL,W (+12),0,8:25,3,5,.600,0,0,,0,0,,1,0,1,0,1,0,1,0,6,4.4,-1,Jeff Teague
2021-05-13,32-337,MIL,AWAY,IND,W (+9),0,9:54,3,6,.500,2,2,1.000,0,0,,0,1,1,1,0,0,2,0,8,4.0,-8,Jeff Teague
2021-05-16,32-340,MIL,AWAY,CHI,L (-6),1,33:38,5,11,.455,3,3,1.000,10,12,.833,0,3,3,7,3,1,2,0,23,24.0,+3,Jeff Teague
2021-03-22,28-242,MIL,HOME,IND,W (+27),0,3:21,0,1,.000,0,0,,0,0,,0,1,1,0,0,2,0,1,0,0.6,+1,Axel Toupane
2021-03-26,28-246,MIL,HOME,BOS,L (-8),0,6:09,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,+11,Axel Toupane
2021-03-27,28-247,MIL,HOME,NYK,L (-6),1,27:16,1,4,.250,0,1,.000,0,0,,0,2,2,1,0,1,0,2,2,0.8,-11,Axel Toupane
2021-03-29,28-249,MIL,AWAY,LAC,L (-24),0,2:33,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-4,Axel Toupane
2021-03-31,28-251,MIL,AWAY,LAL,W (+15),0,1:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,Axel Toupane
2021-04-06,28-257,MIL,AWAY,GSW,L (-1),0,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,Axel Toupane
2021-04-08,28-259,MIL,AWAY,DAL,L (-15),0,2:10,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,-1,Axel Toupane
2021-04-09,28-260,MIL,HOME,CHO,L (-8),0,17:45,2,4,.500,1,1,1.000,4,5,.800,0,2,2,2,2,0,0,3,9,9.4,+3,Axel Toupane
2020-12-26,35-235,HOU,AWAY,POR,L (-2),1,42:31,3,10,.300,1,4,.250,0,2,.000,3,8,11,1,1,1,4,3,7,2.1,-6,P.J. Tucker
2020-12-28,35-237,HOU,AWAY,DEN,L (-13),1,26:59,3,4,.750,3,4,.750,0,0,,0,3,3,4,2,0,0,2,9,12.3,-9,P.J. Tucker
2020-12-31,35-240,HOU,HOME,SAC,W (+3),1,32:26,0,0,,0,0,,0,0,,2,4,6,0,3,2,0,3,0,5.8,+4,P.J. Tucker
2021-01-02,35-242,HOU,HOME,SAC,W (+8),1,33:11,2,3,.667,1,2,.500,0,0,,0,4,4,1,0,0,3,4,5,1.0,-1,P.J. Tucker
2021-01-04,35-244,HOU,HOME,DAL,L (-13),1,35:16,0,1,.000,0,1,.000,0,0,,1,3,4,0,0,0,2,3,0,-2.3,-18,P.J. Tucker
2021-01-06,35-246,HOU,AWAY,IND,L (-7),1,32:36,3,4,.750,2,2,1.000,2,2,1.000,1,5,6,0,1,1,2,6,10,7.9,+3,P.J. Tucker
2021-01-08,35-248,HOU,HOME,ORL,W (+42),1,28:33,5,7,.714,5,7,.714,0,0,,1,3,4,5,0,2,0,3,15,17.4,+24,P.J. Tucker
2021-01-10,35-250,HOU,HOME,LAL,L (-18),1,29:35,1,4,.250,1,4,.250,1,1,1.000,0,1,1,0,2,1,1,3,4,2.4,-18,P.J. Tucker
2021-01-12,35-252,HOU,HOME,LAL,L (-17),1,22:53,0,1,.000,0,1,.000,0,0,,0,1,1,1,2,1,0,2,0,2.2,-19,P.J. Tucker
2021-01-14,35-254,HOU,AWAY,SAS,W (+4),1,35:08,3,4,.750,2,2,1.000,2,2,1.000,0,6,6,2,1,0,1,4,10,10.0,+6,P.J. Tucker
2021-01-16,35-256,HOU,AWAY,SAS,L (-12),1,36:50,1,9,.111,0,6,.000,2,2,1.000,3,6,9,2,1,2,2,4,4,2.2,-23,P.J. Tucker
2021-01-18,35-258,HOU,AWAY,CHI,L (-5),1,33:34,1,2,.500,0,1,.000,0,0,,0,3,3,3,0,0,1,3,2,1.8,+7,P.J. Tucker
2021-01-20,35-260,HOU,HOME,PHO,L (-6),1,21:21,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,2,3,2,-1.2,-23,P.J. Tucker
2021-01-22,35-262,HOU,AWAY,DET,W (+1),1,33:07,5,8,.625,3,5,.600,2,2,1.000,2,5,7,1,0,2,1,4,15,13.8,-14,P.J. Tucker
2021-01-23,35-263,HOU,AWAY,DAL,W (+25),1,24:48,3,5,.600,0,1,.000,0,0,,1,5,6,1,0,0,0,3,6,5.4,+12,P.J. Tucker
2021-01-26,35-266,HOU,HOME,WAS,W (+19),1,34:10,0,1,.000,0,1,.000,0,0,,0,2,2,0,1,0,0,3,0,-0.3,+1,P.J. Tucker
2021-01-28,35-268,HOU,HOME,POR,W (+3),1,31:27,1,4,.250,0,2,.000,0,0,,2,4,6,0,0,2,0,2,2,2.8,+3,P.J. Tucker
2021-01-30,35-270,HOU,AWAY,NOP,W (+14),1,24:53,2,6,.333,0,3,.000,1,2,.500,0,3,3,2,2,0,1,2,5,3.7,+4,P.J. Tucker
2021-02-01,35-272,HOU,AWAY,OKC,W (+30),1,26:57,2,4,.500,2,4,.500,0,0,,1,4,5,2,2,0,1,2,6,7.5,+29,P.J. Tucker
2021-02-03,35-274,HOU,AWAY,OKC,L (-17),1,24:57,0,2,.000,0,1,.000,0,0,,0,5,5,1,0,0,0,2,0,0.0,-6,P.J. Tucker
2021-02-04,35-275,HOU,AWAY,MEM,W (+12),1,33:37,1,8,.125,1,7,.143,0,0,,2,6,8,2,1,0,1,2,3,1.6,+18,P.J. Tucker
2021-02-06,35-277,HOU,HOME,SAS,L (-5),1,29:59,0,3,.000,0,2,.000,2,2,1.000,0,5,5,2,0,0,0,3,2,1.6,-6,P.J. Tucker
2021-02-08,35-279,HOU,AWAY,CHO,L (-25),1,23:23,0,3,.000,0,3,.000,0,0,,0,0,0,2,1,0,2,3,0,-2.9,-16,P.J. Tucker
2021-02-09,35-280,HOU,AWAY,NOP,L (-29),1,28:26,3,7,.429,1,2,.500,0,0,,4,0,4,3,0,0,0,5,7,6.2,-24,P.J. Tucker
2021-02-11,35-282,HOU,HOME,MIA,L (-7),1,22:25,2,6,.333,2,4,.500,2,2,1.000,0,3,3,0,1,0,1,2,8,4.7,+4,P.J. Tucker
2021-02-13,35-284,HOU,AWAY,NYK,L (-22),1,30:47,0,4,.000,0,4,.000,0,0,,3,5,8,1,0,0,2,3,0,-1.7,-8,P.J. Tucker
2021-02-22,35-293,HOU,HOME,CHI,L (-20),1,22:35,0,3,.000,0,2,.000,0,0,,0,2,2,0,1,0,0,1,0,-0.9,-23,P.J. Tucker
2021-02-24,35-295,HOU,AWAY,CLE,L (-16),1,30:56,0,2,.000,0,1,.000,0,0,,2,5,7,2,0,0,2,2,0,0.1,-11,P.J. Tucker
