DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2020-03-08,21-099,BOS,HOME,OKC,L (-1),0,14:45,1,4,.250,1,4,.250,0,0,,0,3,3,0,1,1,0,4,3,1.6,+7,Grant Williams
2020-03-10,21-101,BOS,AWAY,IND,W (+3),0,2:40,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,-7,Grant Williams
2020-07-31,21-244,BOS,AWAY,MIL,L (-7),0,4:15,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,+4,Grant Williams
2020-08-02,21-246,BOS,HOME,POR,W (+4),0,7:12,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,3,2,-0.6,-4,Grant Williams
2020-08-04,21-248,BOS,AWAY,MIA,L (-6),0,3:14,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,0,0,-0.3,-3,Grant Williams
2020-08-05,21-249,BOS,HOME,BRK,W (+34),0,5:46,1,1,1.000,1,1,1.000,0,0,,0,1,1,2,0,0,0,1,3,4.0,+4,Grant Williams
2020-08-07,21-251,BOS,AWAY,TOR,W (+22),0,8:52,2,5,.400,0,1,.000,0,1,.000,0,0,0,1,1,0,0,1,4,2.2,-15,Grant Williams
2020-08-11,21-255,BOS,AWAY,MEM,W (+15),0,19:37,1,3,.333,1,2,.500,0,0,,0,3,3,1,0,1,2,4,3,0.0,+3,Grant Williams
2020-08-13,21-257,BOS,HOME,WAS,L (-6),0,24:42,2,7,.286,1,5,.200,2,2,1.000,1,7,8,2,0,1,1,4,7,5.2,-4,Grant Williams
2019-10-23,22-006,BOS,AWAY,PHI,L (-14),0,10:46,2,4,.500,0,0,,1,2,.500,1,2,3,1,1,1,0,4,5,4.7,+7,Robert Williams
2019-10-25,22-008,BOS,HOME,TOR,W (+6),0,14:39,3,3,1.000,0,0,,0,0,,2,4,6,1,2,1,1,4,6,8.5,-3,Robert Williams
2019-10-26,22-009,BOS,AWAY,NYK,W (+23),1,21:44,2,3,.667,0,0,,0,0,,2,5,7,3,2,1,1,3,4,8.2,+8,Robert Williams
2019-10-30,22-013,BOS,HOME,MIL,W (+11),0,13:41,1,2,.500,0,0,,0,0,,0,4,4,3,0,1,0,1,2,4.6,+11,Robert Williams
2019-11-05,22-019,BOS,AWAY,CLE,W (+6),0,14:41,3,4,.750,0,0,,0,0,,2,2,4,3,1,2,1,4,6,8.3,-2,Robert Williams
2019-11-07,22-021,BOS,AWAY,CHO,W (+21),0,13:12,2,2,1.000,0,0,,3,6,.500,1,4,5,1,2,0,3,1,7,6.4,+9,Robert Williams
2019-11-09,22-023,BOS,AWAY,SAS,W (+20),0,22:29,5,5,1.000,0,0,,1,1,1.000,1,6,7,2,0,6,0,2,11,16.8,+5,Robert Williams
2019-11-11,22-025,BOS,HOME,DAL,W (+10),0,17:02,3,4,.750,0,0,,0,0,,0,3,3,1,0,1,0,2,6,5.9,-14,Robert Williams
2019-11-13,22-027,BOS,HOME,WAS,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Robert Williams
2019-11-15,22-029,BOS,AWAY,GSW,W (+5),0,10:02,0,0,,0,0,,0,0,,2,3,5,3,0,0,0,0,0,4.4,0,Robert Williams
2019-11-17,22-031,BOS,AWAY,SAC,L (-1),0,6:37,0,0,,0,0,,1,2,.500,1,2,3,0,0,0,1,1,1,0.5,-13,Robert Williams
2019-11-18,22-032,BOS,AWAY,PHO,W (+14),0,15:06,0,1,.000,0,0,,0,0,,1,6,7,1,2,1,3,2,0,1.4,+1,Robert Williams
2019-11-20,22-034,BOS,AWAY,LAC,L (-3),0,9:23,2,2,1.000,0,0,,0,0,,0,2,2,1,0,0,0,0,4,4.7,0,Robert Williams
2019-11-22,22-036,BOS,AWAY,DEN,L (-4),0,15:02,2,2,1.000,0,0,,0,0,,1,3,4,0,1,2,1,3,4,5.2,+2,Robert Williams
2019-11-25,22-039,BOS,HOME,SAC,W (+1),0,22:37,3,5,.600,0,0,,0,0,,3,3,6,0,2,1,0,1,6,9.0,-8,Robert Williams
2019-11-27,22-041,BOS,HOME,BRK,W (+11),0,5:55,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,1,0,0,-0.4,-4,Robert Williams
2019-11-29,22-043,BOS,AWAY,BRK,L (-5),0,17:13,3,4,.750,0,0,,0,0,,1,4,5,1,2,1,2,0,6,7.7,-3,Robert Williams
2019-12-01,22-045,BOS,AWAY,NYK,W (+9),0,6:49,1,3,.333,0,0,,1,1,1.000,1,1,2,0,0,2,2,2,3,0.9,-1,Robert Williams
2019-12-04,22-048,BOS,HOME,MIA,W (+19),0,19:16,1,3,.333,0,0,,1,2,.500,4,6,10,0,0,1,0,2,3,5.4,-1,Robert Williams
2019-12-06,22-050,BOS,HOME,DEN,W (+13),0,12:33,0,1,.000,0,0,,0,0,,0,3,3,0,1,0,0,2,0,0.4,+8,Robert Williams
2020-03-03,22-138,BOS,HOME,BRK,L (-9),0,9:44,3,3,1.000,0,0,,4,7,.571,3,0,3,0,1,0,2,0,10,9.0,-9,Robert Williams
2020-03-04,22-139,BOS,AWAY,CLE,W (+6),0,14:15,3,5,.600,0,0,,0,2,.000,2,3,5,0,1,3,1,3,6,6.1,+14,Robert Williams
2020-03-06,22-141,BOS,HOME,UTA,L (-5),0,16:01,1,2,.500,0,0,,0,0,,2,6,8,0,0,3,1,1,2,4.9,-11,Robert Williams
2020-03-08,22-143,BOS,HOME,OKC,L (-1),0,13:45,2,3,.667,0,0,,2,2,1.000,4,1,5,1,1,1,0,2,6,9.4,-1,Robert Williams
2020-08-04,22-292,BOS,AWAY,MIA,L (-6),0,0:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.2,-3,Robert Williams
2020-08-05,22-293,BOS,HOME,BRK,W (+34),0,18:47,7,7,1.000,0,0,,4,4,1.000,0,5,5,2,1,3,0,3,18,20.7,+21,Robert Williams
2020-08-07,22-295,BOS,AWAY,TOR,W (+22),0,11:27,4,5,.800,0,0,,2,2,1.000,1,3,4,0,0,0,0,1,10,9.3,+13,Robert Williams
2020-08-09,22-297,BOS,HOME,ORL,W (+3),0,14:47,4,5,.800,0,0,,0,0,,2,1,3,1,1,1,0,2,8,9.4,0,Robert Williams
2020-08-11,22-299,BOS,AWAY,MEM,W (+15),0,14:00,4,6,.667,0,0,,2,3,.667,3,4,7,1,0,3,1,2,10,11.3,+9,Robert Williams
2020-08-13,22-301,BOS,HOME,WAS,L (-6),0,5:58,3,3,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,6,6.1,+1,Robert Williams
